Fecha,Edificio,Consumo_kWh,Temperatura,Personas,Archivo_Prueba,Nivel_Consumo
2026-09-01,Ingeniería,400,23,360,prueba_1.csv,Consumo alto
2026-09-01,Biblioteca,288,22,190,prueba_1.csv,Consumo medio
2026-09-01,Administración,202,23,110,prueba_1.csv,Consumo bajo
2026-09-02,Ingeniería,420,24,368,prueba_1.csv,Consumo alto
2026-09-02,Biblioteca,300,23,196,prueba_1.csv,Consumo medio
2026-09-02,Administración,210,24,115,prueba_1.csv,Consumo bajo
2026-09-03,Ingeniería,440,25,376,prueba_1.csv,Consumo alto
2026-09-03,Biblioteca,312,24,202,prueba_1.csv,Consumo medio
2026-09-03,Administración,218,25,110,prueba_1.csv,Consumo bajo
2026-09-04,Ingeniería,460,26,384,prueba_1.csv,Consumo alto
2026-09-04,Biblioteca,324,25,190,prueba_1.csv,Consumo medio
2026-09-04,Administración,226,26,115,prueba_1.csv,Consumo bajo
2026-09-05,Ingeniería,400,27,360,prueba_1.csv,Consumo alto
2026-09-05,Biblioteca,288,26,196,prueba_1.csv,Consumo medio
2026-09-05,Administración,202,27,110,prueba_1.csv,Consumo bajo
2026-09-06,Ingeniería,420,23,368,prueba_1.csv,Consumo alto
2026-09-06,Biblioteca,300,22,202,prueba_1.csv,Consumo medio
2026-09-06,Administración,210,23,115,prueba_1.csv,Consumo bajo
2026-09-07,Ingeniería,440,24,376,prueba_1.csv,Consumo alto
2026-09-07,Biblioteca,312,23,190,prueba_1.csv,Consumo medio
2026-09-07,Administración,218,24,110,prueba_1.csv,Consumo bajo
2026-09-08,Ingeniería,460,25,384,prueba_1.csv,Consumo alto
2026-09-08,Biblioteca,324,24,196,prueba_1.csv,Consumo medio
2026-09-08,Administración,226,25,115,prueba_1.csv,Consumo bajo
2026-09-09,Ingeniería,400,26,360,prueba_1.csv,Consumo alto
2026-09-09,Biblioteca,288,25,202,prueba_1.csv,Consumo medio
2026-09-09,Administración,202,26,110,prueba_1.csv,Consumo bajo
2026-09-10,Ingeniería,420,27,368,prueba_1.csv,Consumo alto
2026-09-10,Biblioteca,300,26,190,prueba_1.csv,Consumo medio
2026-09-10,Administración,210,27,115,prueba_1.csv,Consumo bajo
2026-09-11,Ingeniería,440,23,376,prueba_1.csv,Consumo alto
2026-09-11,Biblioteca,312,22,196,prueba_1.csv,Consumo medio
2026-09-11,Administración,218,23,110,prueba_1.csv,Consumo bajo
2026-09-12,Ingeniería,460,24,384,prueba_1.csv,Consumo alto
2026-09-12,Biblioteca,324,23,202,prueba_1.csv,Consumo medio
2026-09-12,Administración,226,24,115,prueba_1.csv,Consumo bajo
2026-09-01,Ingeniería,495,23,360,prueba_2.csv,Consumo alto
2026-09-01,Biblioteca,355,22,190,prueba_2.csv,Consumo medio
2026-09-01,Administración,250,23,110,prueba_2.csv,Consumo medio
2026-09-02,Ingeniería,520,24,368,prueba_2.csv,Consumo alto
2026-09-02,Biblioteca,370,23,196,prueba_2.csv,Consumo medio
2026-09-02,Administración,260,24,115,prueba_2.csv,Consumo medio
2026-09-03,Ingeniería,545,25,376,prueba_2.csv,Consumo alto
2026-09-03,Biblioteca,385,24,202,prueba_2.csv,Consumo medio
2026-09-03,Administración,270,25,110,prueba_2.csv,Consumo medio
2026-09-04,Ingeniería,570,26,384,prueba_2.csv,Consumo alto
2026-09-04,Biblioteca,400,25,190,prueba_2.csv,Consumo alto
2026-09-04,Administración,280,26,115,prueba_2.csv,Consumo medio
2026-09-05,Ingeniería,495,27,360,prueba_2.csv,Consumo alto
2026-09-05,Biblioteca,355,26,196,prueba_2.csv,Consumo medio
2026-09-05,Administración,250,27,110,prueba_2.csv,Consumo medio
2026-09-06,Ingeniería,520,23,368,prueba_2.csv,Consumo alto
2026-09-06,Biblioteca,370,22,202,prueba_2.csv,Consumo medio
2026-09-06,Administración,260,23,115,prueba_2.csv,Consumo medio
2026-09-07,Ingeniería,545,24,376,prueba_2.csv,Consumo alto
2026-09-07,Biblioteca,385,23,190,prueba_2.csv,Consumo medio
2026-09-07,Administración,270,24,110,prueba_2.csv,Consumo medio
2026-09-08,Ingeniería,570,25,384,prueba_2.csv,Consumo alto
2026-09-08,Biblioteca,400,24,196,prueba_2.csv,Consumo alto
2026-09-08,Administración,280,25,115,prueba_2.csv,Consumo medio
2026-09-09,Ingeniería,495,26,360,prueba_2.csv,Consumo alto
2026-09-09,Biblioteca,355,25,202,prueba_2.csv,Consumo medio
2026-09-09,Administración,250,26,110,prueba_2.csv,Consumo medio
2026-09-10,Ingeniería,520,27,368,prueba_2.csv,Consumo alto
2026-09-10,Biblioteca,370,26,190,prueba_2.csv,Consumo medio
2026-09-10,Administración,260,27,115,prueba_2.csv,Consumo medio
2026-09-11,Ingeniería,545,23,376,prueba_2.csv,Consumo alto
2026-09-11,Biblioteca,385,22,196,prueba_2.csv,Consumo medio
